Age,Gender,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,EducationBackground_Life Sciences,EducationBackground_Marketing,EducationBackground_Medical,EducationBackground_Other,EducationBackground_Technical Degree,MaritalStatus_Married,MaritalStatus_Single,EmpDepartment_Development,EmpDepartment_Finance,EmpDepartment_Human Resources,EmpDepartment_Research & Development,EmpDepartment_Sales,EmpJobRole_Data Scientist,EmpJobRole_Delivery Manager,EmpJobRole_Developer,EmpJobRole_Finance Manager,EmpJobRole_Healthcare Representative,EmpJobRole_Human Resources,EmpJobRole_Laboratory Technician,EmpJobRole_Manager,EmpJobRole_Manager R&D,EmpJobRole_Manufacturing Director,EmpJobRole_Research Director,EmpJobRole_Research Scientist,EmpJobRole_Sales Executive,EmpJobRole_Sales Representative,EmpJobRole_Senior Developer,EmpJobRole_Senior Manager R&D,EmpJobRole_Technical Architect,EmpJobRole_Technical Lead,PerformanceRating
42,1,2,12,4,2,77,3,2,4,3,1,12,3,0.5,4,3,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
37,1,2,19,3,3,85,3,2,3,3,0,17,1,0.3214285714285714,2,2,0.2,3,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
29,1,2,7,3,4,59,3,1,1,3,0,14,2,0.39285714285714285,2,3,0.15000000000000002,2,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
27,0,2,2,2,1,89,4,2,3,0,0,14,2,0.3214285714285714,5,2,0.4,7,0,7,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
33,0,2,2,2,1,39,3,1,1,7,0,20,1,0.46428571428571425,3,4,0.45,7,1,7,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
40,1,1,2,4,2,62,3,2,2,5,0,12,4,0.17857142857142855,2,3,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
52,1,0,29,4,1,40,3,1,4,2,0,15,2,0.5714285714285714,3,2,0.45,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
35,1,1,11,2,4,54,3,2,4,1,0,11,4,0.17857142857142855,3,3,0.25,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
32,1,2,7,2,4,79,3,2,3,1,0,18,1,0.3571428571428571,3,3,0.5,4,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
41,0,2,1,2,2,94,3,2,4,8,1,11,1,0.2857142857142857,0,1,0.30000000000000004,4,0,5,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
51,1,2,2,3,4,84,1,2,2,5,0,18,4,0.46428571428571425,3,3,0.2,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
29,1,2,1,4,1,36,3,1,4,9,1,14,2,0.14285714285714285,3,4,0.1,2,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
35,1,1,18,5,2,71,3,3,1,1,0,22,4,0.3214285714285714,3,2,0.45,8,1,8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
21,0,2,10,3,3,36,2,1,1,1,0,13,1,0.03571428571428571,6,2,0.05,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
29,1,1,2,1,1,87,3,2,4,1,0,19,4,0.21428571428571427,0,4,0.30000000000000004,4,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
29,0,2,28,4,3,93,3,1,4,4,0,22,1,0.39285714285714285,1,3,0.35000000000000003,5,1,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
29,1,2,2,3,3,76,3,1,2,0,0,23,4,0.21428571428571427,3,3,0.25,4,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
40,1,2,2,2,1,49,3,5,3,0,0,19,4,0.7857142857142857,5,3,0.25,7,3,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
56,0,2,1,2,1,90,3,1,1,2,0,22,4,0.17857142857142855,3,4,0.15000000000000002,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
35,1,2,1,4,3,32,2,2,1,0,0,14,2,0.5714285714285714,2,3,0.75,13,2,8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
34,1,2,9,3,4,86,3,3,4,0,0,11,4,0.3571428571428571,0,2,0.45,7,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
32,1,2,2,3,4,45,3,2,2,0,0,13,3,0.3571428571428571,4,2,0.45,5,1,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,1,2,29,1,2,91,3,1,1,1,0,13,2,0.21428571428571427,2,4,0.30000000000000004,2,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
36,0,2,5,4,2,82,2,1,1,9,1,14,4,0.21428571428571427,3,4,0.05,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
50,1,1,1,4,4,81,3,2,3,3,1,14,4,0.17857142857142855,4,3,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
25,1,2,5,3,3,46,2,2,3,1,1,11,4,0.21428571428571427,1,3,0.30000000000000004,4,0,3,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
33,0,2,16,3,1,69,3,2,1,5,0,15,3,0.21428571428571427,3,3,0.15000000000000002,2,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
33,1,2,2,3,3,78,3,1,4,4,0,11,4,0.25,3,3,0.05,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
34,1,0,10,3,4,87,3,2,3,1,1,14,3,0.5357142857142857,3,3,0.75,14,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
34,1,1,10,4,4,43,3,1,3,1,1,17,4,0.17857142857142855,4,4,0.25,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
35,1,1,18,2,3,60,3,3,4,2,0,11,3,0.3571428571428571,2,3,0.1,2,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
29,0,1,20,3,3,84,3,1,4,1,0,15,2,0.10714285714285714,5,3,0.15000000000000002,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
28,1,2,16,2,2,68,4,2,1,0,0,19,3,0.3214285714285714,2,3,0.4,3,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
53,0,2,7,2,4,50,3,5,3,3,0,18,2,0.9285714285714285,6,3,0.35000000000000003,7,4,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
34,0,2,2,3,3,86,3,2,1,0,1,12,4,0.14285714285714285,3,3,0.15000000000000002,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
39,1,2,24,1,1,52,3,2,4,7,0,13,1,0.6428571428571428,2,3,0.35000000000000003,7,1,7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
32,0,2,8,2,3,65,2,2,2,1,1,11,4,0.46428571428571425,2,3,0.65,12,11,9,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
43,1,2,11,3,1,30,3,3,3,1,0,17,2,0.3571428571428571,1,3,0.5,9,0,9,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
50,0,1,2,3,4,30,3,4,1,2,0,22,3,0.3571428571428571,3,3,0.1,2,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
53,1,2,8,3,1,73,3,4,4,5,0,14,3,1.0,3,3,0.1,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
35,0,2,1,4,3,62,1,1,4,1,0,12,4,0.14285714285714285,5,3,0.2,3,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
37,0,2,11,3,1,94,3,1,3,4,0,18,1,0.2857142857142857,6,3,0.15000000000000002,2,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
53,0,2,2,4,1,78,2,4,4,2,0,16,3,0.3571428571428571,3,3,0.25,8,3,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
57,1,2,1,4,4,88,3,2,3,2,0,11,3,0.5357142857142857,2,3,0.15000000000000002,2,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
59,0,2,2,3,3,69,2,4,4,3,1,13,1,0.3571428571428571,4,3,0.25,3,4,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
46,1,2,5,2,2,80,3,2,2,8,1,22,4,0.5714285714285714,2,3,0.2,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
27,0,2,10,3,4,98,2,2,4,1,1,11,4,0.21428571428571427,3,3,0.30000000000000004,2,4,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
55,1,2,13,4,1,85,4,4,3,6,1,17,3,0.8571428571428571,2,2,0.9500000000000001,7,3,8,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
50,1,2,28,3,4,39,2,3,1,4,1,13,2,0.7142857142857142,3,3,0.15000000000000002,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
26,0,2,23,3,3,47,2,2,4,7,1,19,3,0.17857142857142855,2,2,0.1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
34,1,2,10,3,2,83,3,1,2,1,0,14,2,0.03571428571428571,3,3,0.05,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
46,1,0,26,2,2,98,2,2,2,8,0,15,3,0.21428571428571427,3,3,0.1,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
45,1,2,28,3,4,97,3,1,4,4,0,20,4,0.2857142857142857,3,3,0.25,4,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
30,1,2,7,1,4,57,3,1,2,0,0,14,1,0.14285714285714285,3,3,0.15000000000000002,2,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
58,0,2,21,3,4,72,3,4,4,4,1,13,3,0.3571428571428571,2,2,0.05,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
25,1,2,8,3,4,57,4,2,2,0,0,22,3,0.14285714285714285,4,3,0.15000000000000002,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
26,0,1,1,1,1,66,2,1,3,1,0,13,3,0.17857142857142855,5,3,0.25,3,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
45,1,2,1,4,1,66,3,3,2,1,0,12,1,0.3571428571428571,4,3,0.5,8,7,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
35,1,2,8,4,3,100,3,1,3,1,0,17,2,0.21428571428571427,2,1,0.25,4,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
25,1,2,19,1,4,67,3,1,4,3,0,11,3,0.25,6,2,0.15000000000000002,2,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
26,1,1,11,2,1,60,3,2,1,1,1,13,3,0.17857142857142855,3,3,0.25,3,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
30,0,2,22,3,1,48,3,1,3,4,1,11,2,0.25,2,3,0.25,2,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,0,1,7,3,1,55,3,1,3,1,1,16,4,0.21428571428571427,4,3,0.30000000000000004,3,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
40,1,2,9,2,1,47,3,2,1,0,0,12,4,0.3214285714285714,5,4,0.4,4,7,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
34,1,0,19,3,1,67,4,2,4,8,1,13,2,0.3214285714285714,3,2,0.25,2,0,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
20,0,2,2,3,3,49,2,1,3,1,0,13,4,0.07142857142857142,3,2,0.1,2,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
50,1,2,8,4,4,54,3,1,2,7,0,15,4,0.14285714285714285,2,3,0.1,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
29,0,2,23,1,4,45,2,3,1,1,0,13,1,0.39285714285714285,3,1,0.55,8,3,10,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
30,0,1,26,4,3,52,2,2,1,5,0,15,3,0.3214285714285714,5,2,0.30000000000000004,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
35,1,1,12,4,4,36,3,2,4,3,1,24,1,0.46428571428571425,2,4,0.55,9,6,7,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
42,0,2,10,3,3,31,3,4,1,0,0,14,3,0.75,5,3,1.0,7,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
